tid,label,period,depth,duration,asymmetry,snr,std,skew,kurtosis,q25,q50,q75,pratio,fft_energy,entropy,ls_peak_power,rotation_period,ac1,ac2,ac3,cwt1,cwt2,cwt3,odd_even_diff,secondary_snr,symmetry,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20
53458803,KP,0.8776377637763777,0.036028707050460684,0.1,0.014576957692485201,1.4508354687669236,0.06531885873707043,2.4833912583775337,34.9752199947887,0.4503214666351246,0.4503214666351379,0.45480039415547874,0.49464930254589956,13505.881798086672,3.0703970021463665,0.03065540637932758,0.0016758840288252051,53.30309659582962,51.76636095381768,51.7714296717238,0.49291133748727595,1.0917801671789622,2.0644706421044194,0,0.0,-0.40385651528362415,0.46211159467241075,0.4105235467329709,0.46598669762405515,0.4743619009264433,0.4564589909607145,0.45032146663513445,0.4503214666351303,0.45032146663513234,0.4503214666351385,0.4503214666351339,0.4503214666351369,0.450321466635138,0.45032146663513856,0.45032146663513795,0.4503214666351354,0.45286430995863536,0.4622768588529775,0.459263359846177,0.43915089906534016,0.4459379621765223
232038798,KP,0.5059005900590059,0.11994856065159964,0.1,0.03477203000879556,1.3415138646986071,0.10168908234138335,1.3723803275694528,9.943448586501182,0.24479967286485463,0.2815352374462288,0.3169826459015587,0.30602652412213965,5656.30109908023,3.8383503290807957,0.15358411286193285,0.0019837333862328904,23.41820410373353,21.843192768035312,21.84433377789169,0.6521478251800448,1.129170000878014,2.4434856821865463,0,1.1955010945355915e-13,0.0,0.3296309792994347,0.16624000478422626,0.3101737719280972,0.34570218062262953,0.3079252843822695,0.2815352374462139,0.2585688662899951,0.23576937545679916,0.3164819887260786,0.48467449437011345,0.15883418630426732,0.19131609325542392,0.29157697135095884,0.3143919515394101,0.2822032097229631,0.28764886697176056,0.30195362385973307,0.2946843919316652,0.2565324739466461,0.28062720253977197
53750200,KP,1.0517051705170517,0.07088542007363957,0.1,0.01188342952140176,1.082561538689574,0.0805378915954423,-2.006943295278369,23.319576597700813,0.59485413398887,0.6001887496265961,0.6001887496266121,0.50009593976594,23675.67663100183,3.0726394724009527,0.026252106469559656,0.001938360147315371,93.31299712127164,90.97651238285488,91.1212853243796,1.6709893593353837,0.9095965067619015,1.711260760030895,0,0.0,-0.5589896722380209,0.5725125320206521,0.6722838822982763,0.5775229745557617,0.5609428814364515,0.5884024195372384,0.6001887496266121,0.6001887496266095,0.6001887496266046,0.6001887496266028,0.6001887496265984,0.6001887496265943,0.6001887496265936,0.6001887496265887,0.6001887496265895,0.6001887496265846,0.5969031488212773,0.5893226872495704,0.5932190228046353,0.6135630723423461,0.6006096042356593
98283926,KP,0.561956195619562,0.06655144860570317,0.1,0.010438974909390419,2.0137663643423083,0.089438807593761,-2.571000887428811,19.15928524522202,0.6962697952173247,0.7147751421959596,0.7387137433863701,0.5405392344958453,33699.02723903411,2.8351788220070375,0.12946545208887605,0.001981375074301565,132.65823855193884,129.99385064361266,129.91721992893096,1.3194231297734544,1.3427935825437598,4.661754653635686,0,1.1916683743306762e-13,-0.33450581974192667,0.6817401428542019,0.7988254144943185,0.6888276651267756,0.6697170878000362,0.700843869241482,0.7147751421959612,0.7017401484814597,0.7076068508943402,0.7447884924752545,0.7624579719258603,0.6488609735182358,0.7021177865763207,0.7290925053691973,0.7218975909673754,0.7144139595552279,0.7289781111910991,0.7504748219860621,0.7330570854304036,0.6574992005047713,0.7288835196906316
50712784,KP,0.5059005900590059,0.04160989162289373,0.1,0.026155128613099928,1.1054878071005205,0.06953390199314777,4.5544354274693015,47.798398815976675,0.27748919393614635,0.2853221673977442,0.2889862758478544,0.3589533654579663,5502.078150480393,3.698404788800132,0.04348218895263167,0.0019821605550049554,22.10856325636986,20.788403802238935,20.98153616382193,0.7129008146302402,0.6824069892598636,1.4570643525694922,0,0.0035753849420202175,0.0,0.2866171704608617,0.2792769644786033,0.2880741330222513,0.28929939585844483,0.2862360597298867,0.2855288451410498,0.30195791639862646,0.28518395584730744,0.2436727577491031,0.23906051491633665,0.37643662346078577,0.28441298026176276,0.2677122775940886,0.2839336352104157,0.28532216739773575,0.28449859131827215,0.28771416759788443,0.28872389031114915,0.28760220439805434,0.2794116808099768
112099249,KP,0.6298129812981298,0.05208466995417222,0.1,0.062482763736517094,1.332001025737005,0.16478367486291842,-0.08184815466208172,0.3206576011555198,0.3454030709316017,0.4573266878531753,0.5519744124100322,0.283088109570854,13931.078901052604,3.952703024881683,0.10591227343334048,0.0017860332202178958,57.88390345066698,50.847738887911774,51.07580004003186,4.764948714254885,4.588287809858855,8.379328564222439,0,0.08613919229656951,-0.26868259607233896,0.47165733565267803,0.41695710631020955,0.4817231232838175,0.41003303856936274,0.4440208343176221,0.4668940935103964,0.3947962789359387,0.4708811270020184,0.4395340915269733,0.4863576574629471,0.4159529105138438,0.45154370598087784,0.45589440083192945,0.48457412123351884,0.41109159274698137,0.4588509484539761,0.3402874730525769,0.5445126029769283,0.45643837691641376,0.41687643125411555
363851359,KP,1.0222022202220222,0.05357927529040964,0.1,0.010474449496093104,1.4612651393638536,0.07123209200003662,-3.8618630301143915,36.64507350846871,0.6281434457095334,0.6373009038070483,0.6373009038070543,0.557458659598083,26646.61831945683,2.7709590527034953,0.03663390554786275,0.0018674136321195146,104.73782227689584,103.66581098006162,102.56642441449648,1.1221942727148053,2.3342381003062713,5.290832844923546,0,0.0,-0.28084735707218683,0.6029224605056029,0.6921599438671139,0.6315203689301234,0.6171424657871565,0.6264582041456587,0.6373009038070562,0.6373009038070533,0.6373009038070515,0.6373009038070504,0.6373009038070502,0.6373009038070468,0.6373009038070465,0.6373009038070461,0.6373009038070442,0.6373009038070414,0.6245826234338916,0.6156651803275831,0.6319055247365181,0.688511533775983,0.6094602972733121
98545929,KP,0.8274827482748275,0.042983624187461184,0.1,0.02129173064704006,1.8835716196831203,0.06991386051551209,4.268223012517826,41.86991812074606,0.3032974806683115,0.30985344946493437,0.32280427972473813,0.3832423350949999,6511.44742323576,3.5802793742617025,0.04000162420009593,0.001902225603956629,26.06083023947294,25.17882354541087,24.974205994210504,0.33956564990155363,1.4659521968363496,2.758695913325327,0,0.04300572767849139,0.0,0.3455953644990645,0.25245654552528696,0.31597157283595456,0.3315142516334629,0.3207968612913298,0.3098534494649352,0.3098288285683328,0.3089054037520095,0.30388044698958494,0.3073982059600817,0.3236010111716308,0.317219990473087,0.3039631727499419,0.3042233117242947,0.3096606737956271,0.31963499881865365,0.3252912149684703,0.3130034160450429,0.2714801693542627,0.3315659492065953
308425348,FP,0.5059005900590059,0.06849775275958586,0.1,0.05698765381459793,2.2454125354796566,0.17752030840775762,-0.1410836231887615,-0.07662178030848787,0.41972098066566593,0.5541329705053231,0.6675662617941799,0.3094396636473275,20332.23417306504,3.8363025042011945,0.05384271372694143,0.0017310022503029252,83.44166703657362,74.2047468649468,74.44412611371204,6.792075670845246,6.010038599807173,7.307865263945045,0,0.012143798710091955,-0.22013770110068503,0.5418677374215833,0.5564852454106574,0.5991148000597051,0.4838758416449072,0.49424978921112694,0.5564245512110464,0.5893351428564177,0.5157470423366103,0.5130798044527451,0.5764417107960751,0.5098735410736416,0.5475700017446591,0.6512078848464817,0.4133142282617497,0.586619524033271,0.5609506009839493,0.5746066547135026,0.48507172336450016,0.5429112114042624,0.5523502847830389
102192004,KP,0.8422342234223422,0.08098478459373094,0.1,0.021794069228179943,2.2631127356218745,0.0945347049589952,1.1145033306759793,14.247608226311439,0.46826476790897115,0.46826476790898963,0.48658277711623205,0.4211200669404119,14846.574476928805,3.380794728616687,0.0462697297543106,0.001938360147315371,59.136939564185255,57.08622840219292,56.61425012268742,1.3949536803814055,0.9164186172820901,5.090091999598052,0,0.0,0.0,0.46958648799700115,0.43201162423189604,0.49073076529128357,0.49658232928229346,0.4729504349797938,0.46826476790900234,0.468264767908991,0.4682647679089932,0.46826476790899313,0.46826476790898747,0.468264767908986,0.4682647679089754,0.4682647679089811,0.4682647679089762,0.4682647679089691,0.5002335036327452,0.518603624811545,0.47791533043131934,0.34096655017032074,0.5421568117164712
